LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01019886,East Devon 005A,E07000040,East Devon,"14,730",5
E01019887,East Devon 005B,E07000040,East Devon,"13,255",5
E01019888,East Devon 005C,E07000040,East Devon,"17,779",6
E01019889,East Devon 005D,E07000040,East Devon,"24,605",8
E01019890,East Devon 009A,E07000040,East Devon,"25,883",8
E01019891,East Devon 006A,E07000040,East Devon,"17,494",6
E01019892,East Devon 006B,E07000040,East Devon,"19,012",6
E01019893,East Devon 006C,E07000040,East Devon,"20,288",7
E01019894,East Devon 017A,E07000040,East Devon,"29,442",9
E01019895,East Devon 017B,E07000040,East Devon,"29,782",10
E01019896,East Devon 017C,E07000040,East Devon,"28,408",9
E01019897,East Devon 017D,E07000040,East Devon,"17,426",6
E01019898,East Devon 014A,E07000040,East Devon,"24,254",8
E01019899,East Devon 007A,E07000040,East Devon,"21,143",7
E01019900,East Devon 007B,E07000040,East Devon,"26,482",9
E01019901,East Devon 009B,E07000040,East Devon,"14,049",5
E01019902,East Devon 001A,E07000040,East Devon,"18,065",6
E01019903,East Devon 006D,E07000040,East Devon,"19,145",6
E01019904,East Devon 015A,E07000040,East Devon,"15,206",5
E01019905,East Devon 015B,E07000040,East Devon,"32,202",10
E01019906,East Devon 015C,E07000040,East Devon,"28,700",9
E01019907,East Devon 015D,E07000040,East Devon,"28,665",9
E01019908,East Devon 016A,E07000040,East Devon,"21,757",7
E01019909,East Devon 016B,E07000040,East Devon,"30,838",10
E01019910,East Devon 016C,E07000040,East Devon,"26,107",8
E01019911,East Devon 016D,E07000040,East Devon,"28,174",9
E01019912,East Devon 020A,E07000040,East Devon,"20,829",7
E01019913,East Devon 020B,E07000040,East Devon,"26,060",8
E01019914,East Devon 020C,E07000040,East Devon,"6,745",3
E01019915,East Devon 020D,E07000040,East Devon,"25,806",8
